Date; Amount ;Category;Subcategory;Description
06.01.2013;-600,00р. ;Квартплата;Другое;
06.01.2013;-6 000,00р. ;Авто;Запчасти;
06.01.2013;-800,00р. ;Еда;Магазин;
06.01.2013;-800,00р. ;Еда;Магазин;
06.01.2013;-47 000,00р. ;Путешествие;Путешествие;
07.01.2013;-1 000,00р. ;Авто;Бензин;
09.01.2013;-226,00р. ;Еда;Обед;
09.01.2013;-300,00р. ;Посиделки;Другое;
09.01.2013;-795,00р. ;Еда;Магазин;
10.01.2013;-340,00р. ;Еда;Обед;
11.01.2013;-93,00р. ;Еда;Завтрак;
11.01.2013;-280,00р. ;Еда;Обед;
12.01.2013;-1 302,00р. ;Еда;Магазин;
13.01.2013;-1 000,00р. ;Авто;Бензин;
14.01.2013;-93,00р. ;Еда;Завтрак;
14.01.2013;-300,00р. ;Еда;Обед;
14.01.2013;-30,00р. ;Еда;Магазин;
15.01.2013;-93,00р. ;Еда;Завтрак;
15.01.2013;-245,00р. ;Еда;Обед;
15.01.2013;-30,00р. ;Еда;Магазин;
15.01.2013;-805,00р. ;Еда;Магазин;
16.01.2013;-30,00р. ;Еда;Завтрак;
16.01.2013;-350,00р. ;Еда;Обед;
17.01.2013;-300,00р. ;Еда;Обед;
17.01.2013;-30,00р. ;Еда;Магазин;
18.01.2013;-100,00р. ;Проезд;Такси;
18.01.2013;-250,00р. ;Посиделки;Другое;
18.01.2013;-30,00р. ;Еда;Завтрак;
18.01.2013;-310,00р. ;Еда;Обед;
18.01.2013;-135,00р. ;Проезд;Городской;
19.01.2013;-1 000,00р. ;Авто;Бензин;
20.01.2013;-1 802,00р. ;Еда;Магазин;
20.01.2013;-600,00р. ;Посиделки;Кафе;
21.01.2013;-93,00р. ;Еда;Завтрак;
21.01.2013;-270,00р. ;Еда;Обед;
21.01.2013;-1 000,00р. ;Вещи;Техника;
21.01.2013;-30,00р. ;Еда;Магазин;
22.01.2013;-93,00р. ;Еда;Завтрак;
22.01.2013;-254,00р. ;Еда;Обед;
22.01.2013;-30,00р. ;Еда;Магазин;
23.01.2013;-80,00р. ;Еда;Завтрак;
23.01.2013;-340,00р. ;Еда;Обед;
24.01.2013;-93,00р. ;Еда;Завтрак;
24.01.2013; -173.5 ;Еда;Обед;
24.01.2013;-30,00р. ;Еда;Магазин;
24.01.2013; 37 663,00р. ;Income;Зарплата;
24.01.2013;-1 115,00р. ;Посиделки;Кафе;
24.01.2013;-360,00р. ;Прочее;Прочее;
24.01.2013;-1 000,00р. ;Авто;Бензин;
25.01.2013;-93,00р. ;Еда;Завтрак;
25.01.2013;-22 651,00р. ;Долг;Отдал Долг;
25.01.2013;-300,00р. ;Еда;Обед;
25.01.2013; -1788.55 ;Квартплата;Бабушка;
25.01.2013; -2501.47 ;Квартплата;Бабушка;
28.01.2013;-93,00р. ;Еда;Завтрак;
28.01.2013;-300,00р. ;Еда;Обед;
28.01.2013;-30,00р. ;Еда;Магазин;
28.01.2013;-560,00р. ;Авто;Мойка;
28.01.2013;-1 000,00р. ;Авто;Бензин;
29.01.2013;-143,00р. ;Еда;Завтрак;
29.01.2013;-260,00р. ;Еда;Обед;
30.01.2013;-30,00р. ;Еда;Завтрак;
30.01.2013;-340,00р. ;Еда;Обед;
30.01.2013;-30,00р. ;Еда;Магазин;
31.01.2013;-93,00р. ;Еда;Завтрак;
31.01.2013;-280,00р. ;Еда;Обед;
31.01.2013;-30,00р. ;Еда;Перекус;
31.01.2013;-583,00р. ;Еда;Магазин;
01.02.2013;-93,00р. ;Еда;Завтрак;
01.02.2013;-211,00р. ;Еда;Обед;
01.02.2013;-30,00р. ;Еда;Перекус;
01.02.2013;-1 000,00р. ;Авто;Бензин;
01.02.2013;-7 000,00р. ;Прочее;Прочее;Оля
03.02.2013;-1 920,00р. ;Еда;Магазин;
04.02.2013;-93,00р. ;Еда;Завтрак;
04.02.2013;-235,00р. ;Еда;Обед;
04.02.2013;-30,00р. ;Еда;Перекус;
04.02.2013;-250,00р. ;Еда;Магазин;
05.02.2013;-270,00р. ;Еда;Обед;
05.02.2013;-300,00р. ;Посиделки;Другое;др
06.02.2013;-200,00р. ;Ремонт;Ремонт;ключи
06.02.2013;-350,00р. ;Еда;Обед;
06.02.2013;-796,00р. ;Еда;Магазин;
06.02.2013;-1 037,00р. ;Еда;Магазин;
07.02.2013;-93,00р. ;Еда;Завтрак;
07.02.2013;-398,00р. ;Еда;Обед;
07.02.2013;-30,00р. ;Еда;Перекус;
07.02.2013;-200,00р. ;Сотовый;Мой;
08.02.2013;-93,00р. ;Еда;Завтрак;
08.02.2013;-300,00р. ;Еда;Обед;
08.02.2013; 60 753,00р. ;Income;Зарплата;
08.02.2013;-30,00р. ;Еда;Перекус;
08.02.2013;-202,00р. ;Еда;Магазин;
08.02.2013;-360,00р. ;Еда;Магазин;
08.02.2013; -291.00 ;Еда;Магазин;
09.02.2013;-1 000,00р. ;Авто;Бензин;
09.02.2013;-75,00р. ;Еда;Магазин;
09.02.2013;-740,00р. ;Еда;Обед;
10.02.2013;-5 200,00р. ;Еда;Магазин;
10.02.2013;-1 050,00р. ;Вещи;Одежда;
11.02.2013;-420,00р. ;Еда;Магазин;
12.02.2013;-93,00р. ;Еда;Завтрак;
12.02.2013;-13 000,00р. ;Долг;Отдал Долг;
12.02.2013;-270,00р. ;Еда;Обед;
12.02.2013;-30,00р. ;Еда;Перекус;
12.02.2013;-404,00р. ;Еда;Магазин;
13.02.2013;-80,00р. ;Еда;Завтрак;
13.02.2013;-340,00р. ;Еда;Обед;
13.02.2013;-30,00р. ;Ремонт;Ремонт;
13.02.2013;-30,00р. ;Еда;Перекус;
13.02.2013;-280,00р. ;Еда;Магазин;
13.02.2013;-500,00р. ;Квартплата;Другое;инет
13.02.2013;-800,00р. ;Прочее;Прочее;Оля
14.02.2013;-93,00р. ;Еда;Завтрак;
14.02.2013;-1 597,00р. ;Квартплата;Бабушка;
14.02.2013;-336,00р. ;Еда;Обед;
14.02.2013;-30,00р. ;Еда;Перекус;
14.02.2013;-320,00р. ;Прочее;Прочее;
14.02.2013;-260,00р. ;Еда;Магазин;
14.02.2013;-130,00р. ;Еда;Магазин;
14.02.2013;-350,00р. ;Еда;Магазин;
15.02.2013;-93,00р. ;Еда;Завтрак;
15.02.2013;-270,00р. ;Еда;Обед;
15.02.2013;-100,00р. ;Прочее;Прочее;Оля
15.02.2013;-1 000,00р. ;Авто;Бензин;
15.02.2013;-25 000,00р. ;Путешествие;Путешествие;
15.02.2013;-5 000,00р. ;Прочее;Прочее;Оля
16.02.2013;-170,00р. ;Сотовый;Мой;
17.02.2013;-1 050,00р. ;Еда;Магазин;
17.02.2013;-350,00р. ;Сотовый;Другой;
18.02.2013;-230,00р. ;Еда;Обед;
18.02.2013;-30,00р. ;Еда;Перекус;
19.02.2013;-93,00р. ;Еда;Завтрак;
19.02.2013;-300,00р. ;Еда;Обед;
19.02.2013;-395,00р. ;Еда;Магазин;
20.02.2013;-68,00р. ;Еда;Завтрак;
20.02.2013;-340,00р. ;Еда;Обед;
21.02.2013;-93,00р. ;Еда;Завтрак;
21.02.2013;-203,00р. ;Еда;Обед;
21.02.2013;-30,00р. ;Еда;Перекус;
21.02.2013;-6 000,00р. ;Прочее;Прочее;Оля англ
22.02.2013; 44 020,00р. ;Income;Зарплата;
22.02.2013;-1 000,00р. ;Авто;Бензин;
22.02.2013;-123,00р. ;Еда;Завтрак;
22.02.2013;-600,00р. ;Еда;Обед;
22.02.2013;-10 000,00р. ;Долг;Отдал Долг;
22.02.2013;-16 100,00р. ;Вещи;Техника;
23.02.2013;-14 000,00р. ;Квартплата;Другое;Аренда
24.02.2013;-544,00р. ;Еда;Магазин;
24.02.2013;-1 712,00р. ;Еда;Магазин;
25.02.2013;-93,00р. ;Еда;Завтрак;
25.02.2013;-230,00р. ;Еда;Обед;
25.02.2013; -232.00 ;Лекарства;Аптека;
25.02.2013;-30,00р. ;Еда;Перекус;
26.02.2013;-93,00р. ;Еда;Завтрак;
26.02.2013;-270,00р. ;Еда;Обед;
26.02.2013;-693,00р. ;Посиделки;Другое;
26.02.2013;-30,00р. ;Еда;Перекус;
27.02.2013;-93,00р. ;Еда;Завтрак;
27.02.2013;-310,00р. ;Еда;Обед;
27.02.2013;-30,00р. ;Еда;Перекус;
27.02.2013;-170,00р. ;Сотовый;Мой;
28.02.2013;-93,00р. ;Еда;Завтрак;
28.02.2013; -202.5 ;Еда;Обед;
28.02.2013;-56,00р. ;Проезд;Городской;
28.02.2013;-185,00р. ;Еда;Магазин;
01.03.2013;-270,00р. ;Еда;Обед;
01.03.2013;-28,00р. ;Проезд;Городской;
01.03.2013;-13 200,00р. ;Авто;Ремонт;
01.03.2013;-1 000,00р. ;Авто;Бензин;
03.03.2013;-632,00р. ;Еда;Магазин;
04.03.2013;-30,00р. ;Еда;Завтрак;
04.03.2013;-270,00р. ;Еда;Обед;
05.03.2013;-148,00р. ;Еда;Завтрак;
05.03.2013;-310,00р. ;Еда;Обед;
05.03.2013;-500,00р. ;Посиделки;Другое;8м
05.03.2013;-30,00р. ;Еда;Перекус;
05.03.2013; -509.00 ;Еда;Магазин;
06.03.2013;-93,00р. ;Еда;Завтрак;
06.03.2013;-193,00р. ;Еда;Обед;
06.03.2013;-30,00р. ;Еда;Перекус;
06.03.2013;-1 000,00р. ;Авто;Бензин;
07.03.2013;-93,00р. ;Еда;Завтрак;
07.03.2013; 36 015,00р. ;Income;Зарплата;
07.03.2013;-300,00р. ;Еда;Обед;
07.03.2013;-1 290,00р. ;Еда;Магазин;
07.03.2013;-415,00р. ;Лекарства;Аптека;
09.03.2013;-285,00р. ;Еда;Магазин;
09.03.2013;-353,00р. ;Еда;Магазин;
10.03.2013;-7 052,00р. ;Вещи;Одежда;
10.03.2013;-1 030,00р. ;Посиделки;Кафе;
11.03.2013;-93,00р. ;Еда;Завтрак;
11.03.2013;-56,00р. ;Проезд;Городской;
11.03.2013;-30,00р. ;Еда;Перекус;
11.03.2013; -192.00 ;Еда;Магазин;
11.03.2013;-300,00р. ;Авто;Ремонт;
11.03.2013;-450,00р. ;Сотовый;Мой;
11.03.2013;-10 000,00р. ;Долг;Отдал Долг;
12.03.2013;-146,00р. ;Еда;Завтрак;
12.03.2013;-209,00р. ;Еда;Обед;
12.03.2013;-165,00р. ;Еда;Магазин;
12.03.2013;-750,00р. ;Еда;Магазин;
12.03.2013;-30,00р. ;Еда;Перекус;
12.03.2013;-250,00р. ;Прочее;Прочее;
12.03.2013; 36 145,00р. ;Income;Зарплата;
12.03.2013;-50,00р. ;Еда;Магазин;
12.03.2013;-1 000,00р. ;Авто;Бензин;
13.03.2013;-500,00р. ;Квартплата;Другое;
13.03.2013;-93,00р. ;Еда;Завтрак;
13.03.2013;-350,00р. ;Еда;Обед;
13.03.2013;-60,00р. ;Еда;Перекус;
13.03.2013;-160,00р. ;Еда;Магазин;
13.03.2013;-453,00р. ;Еда;Магазин;
14.03.2013;-148,00р. ;Еда;Завтрак;
14.03.2013;-211,00р. ;Еда;Обед;
14.03.2013;-12 302,00р. ;Долг;Отдал Долг;
15.03.2013;-570,00р. ;Еда;Обед;
15.03.2013;-620,00р. ;Посиделки;Другое;
15.03.2013;-868,00р. ;Еда;Магазин;
17.03.2013;-100,00р. ;Еда;Магазин;
18.03.2013;-93,00р. ;Еда;Завтрак;
18.03.2013;-300,00р. ;Еда;Обед;
18.03.2013;-58,00р. ;Еда;Перекус;
18.03.2013;-1 000,00р. ;Авто;Бензин;
18.03.2013;-40,00р. ;Еда;Магазин;
18.03.2013;-1 500,00р. ;Прочее;Прочее;Ольга
19.03.2013;-148,00р. ;Еда;Завтрак;
19.03.2013; -258.00 ;Еда;Обед;
19.03.2013;-236,00р. ;Еда;Магазин;
20.03.2013;-93,00р. ;Еда;Завтрак;
20.03.2013;-340,00р. ;Еда;Обед;
20.03.2013;-30,00р. ;Еда;Перекус;
20.03.2013;-75,00р. ;Еда;Магазин;
21.03.2013;-215,00р. ;Еда;Обед;
21.03.2013;-93,00р. ;Еда;Завтрак;
21.03.2013;-300,00р. ;Еда;Перекус;
22.03.2013;-150,00р. ;Сотовый;Мой;
22.03.2013; -116.5 ;Лекарства;Аптека;
22.03.2013; -642.00 ;Еда;Магазин;
24.03.2013;-1 000,00р. ;Авто;Бензин;
25.03.2013;-270,00р. ;Еда;Обед;
25.03.2013;-30,00р. ;Еда;Перекус;
26.03.2013;-330,00р. ;Посиделки;Другое;
26.03.2013;-93,00р. ;Еда;Завтрак;
26.03.2013;-270,00р. ;Еда;Обед;
27.03.2013;-68,00р. ;Еда;Завтрак;
27.03.2013;-340,00р. ;Еда;Обед;
27.03.2013;-30,00р. ;Еда;Перекус;
27.03.2013;-1 200,00р. ;Вещи;Одежда;турник
28.03.2013;-93,00р. ;Еда;Завтрак;
28.03.2013;-270,00р. ;Еда;Обед;
28.03.2013;-33,00р. ;Еда;Перекус;
28.03.2013;-50,00р. ;Еда;Перекус;
29.03.2013;-108,00р. ;Еда;Завтрак;
29.03.2013;-30,00р. ;Еда;Перекус;
29.03.2013;-635,00р. ;Еда;Магазин;
29.03.2013;-570,00р. ;Лекарства;Аптека;
31.03.2013; -392.00 ;Еда;Магазин;
01.04.2013;-93,00р. ;Еда;Завтрак;
01.04.2013;-63,00р. ;Еда;Перекус;
01.04.2013;-300,00р. ;Еда;Обед;
01.04.2013;-150,00р. ;Сотовый;Мой;
01.04.2013;-532,00р. ;Еда;Магазин;
02.04.2013;-148,00р. ;Еда;Завтрак;
02.04.2013;-240,00р. ;Еда;Обед;
02.04.2013;-1 000,00р. ;Авто;Бензин;
02.04.2013; -239.00 ;Авто;Запчасти;
03.04.2013;-76,00р. ;Еда;Завтрак;
03.04.2013;-340,00р. ;Еда;Обед;
03.04.2013;-33,00р. ;Еда;Перекус;
03.04.2013;-100,00р. ;Лекарства;Аптека;
03.04.2013;-540,00р. ;Прочее;Прочее;
04.04.2013;-133,00р. ;Еда;Завтрак;
04.04.2013;-240,00р. ;Еда;Обед;
04.04.2013;-250,00р. ;Прочее;Прочее;
04.04.2013;-615,00р. ;Еда;Магазин;
05.04.2013;-93,00р. ;Еда;Завтрак;
05.04.2013;-220,00р. ;Еда;Обед;
